MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction
acs+N667+E67	7.74338	6.9995	1973.61	1504.07	0.1985
acs+N691+E39	22.28724	19.05606	1288.4	5742.0	0.75934
acs+N9+E135	10.93977	9.84594	2269.95	3798.3	0.39134
acs+N9+E32	12.32474	9.10253	2167.39	4800.89	0.48996
aea+N107+N119+N410+E219+E123	19.85467	15.946	1796.69	4935.56	0.57716
aea+N107+N358+N96+E39+E103	30.56949	22.22375	1236.99	3453.12	0.72654
aea+N107+N648+N137+E42+E38	21.91309	15.91106	1523.46	5169.35	0.68006
aea+N56+N119+N488+E154+E94	21.64568	18.67903	1563.73	4484.5	0.62458
aea+N56+N58+N110+E131+E18	11.46042	9.68341	1979.67	2510.14	0.35206
aea+N56+N648+N320+E25+E14	16.37617	11.77139	1839.04	3242.02	0.49414
aea+N56+N94+N713+E95+E97	23.76258	17.82225	1559.93	4543.28	0.614
aea+N648+N119+N79+E50+E85	18.81381	14.509	1733.77	4012.48	0.52624
aea+N648+N469+N96+E42+E159	24.52483	18.44866	1497.44	4581.7	0.6273
aea+N648+N58+N160+E37+E219	19.14336	12.75417	1753.39	3850.76	0.52204
aea+N648+N648+N353+E83+E173	25.54367	19.54487	1417.18	3771.26	0.61682
aea+N94+N119+N117+E80+E199	21.44165	15.89034	1657.98	4041.15	0.5954
aea+N94+N358+N10+E101+E101	25.69472	20.31428	1439.0	6362.44	0.69978
aea+N94+N358+N150+E175+E9	27.41301	17.64904	1494.26	4457.71	0.65902
aea+N94+N358+N25+E142+E79	18.04604	13.69068	1678.88	3456.18	0.49248
afw+N184+E0	12.22308	9.01939	2107.11	3507.62	0.50598
afw+N215+E53	24.21221	17.58956	1147.73	4107.31	0.77022
afw+N267+E211	20.21411	15.30058	1327.1	5101.24	0.68188
afw+N282+E131	21.65709	14.89572	1360.68	5317.4	0.70882
afw+N310+E154	19.00569	16.04468	1325.64	5838.21	0.72138
afw+N327+E123	29.6893	24.14956	768.031	2396.23	0.82778
afw+N34+E22	25.9749	23.37873	878.285	7116.2	0.83798
afw+N52+E232	34.87283	24.24471	829.022	4430.86	0.81506
afw+N547+E159	19.44251	16.27662	1336.44	4802.97	0.67244
afw+N562+E159	26.78692	18.39589	1087.48	3954.57	0.75262
afw+N649+E218	22.41589	19.70209	1083.29	5909.22	0.79292
afw+N68+E234	27.97898	19.12073	1008.0	5989.07	0.79946
afw+N719+E83	30.73982	27.15597	704.911	7232.51	0.86418
afy+N215+N305+E123+E199+E172	33.21687	26.72869	1058.79	4275.56	0.78682
afy+N238+N68+E146+E213+E49	37.86802	26.80416	1030.47	5190.92	0.78012
afy+N3+N76+E122+E20+E88	47.69403	36.30139	782.685	5660.27	0.83406
afy+N649+N168+E101+E220+E52	45.69203	38.69101	839.942	5608.51	0.82338
agw+N130+N631+N179+E226+E222	14.8421	10.99803	1966.12	3186.49	0.4207
agw+N23+N705+N489+E213+E95	19.10645	16.52677	1700.47	3287.08	0.4208
agw+N621+N376+N134+E95+E181	21.7285	11.49355	1642.89	4304.33	0.63936
ahq+N289+N220+N12+E58+E30	13.28709	9.70143	2188.88	4983.82	0.50682
ahq+N341+N173+N263+E102+E116	13.38776	11.20475	2065.74	2935.94	0.45266
ahq+N394+N5+N200+E115+E181	15.77578	13.2834	1839.01	4382.34	0.52958
ahq+N494+N478+N355+E165+E225	8.21824	4.36891	1660.41	1795.98	0.12772
ala+N134+N315+N242+E138+E7	9.04791	6.13342	2374.02	2745.45	0.24686
ala+N134+N579+N383+E36+E4	22.24016	17.52948	1278.23	5844.39	0.75776
ala+N179+N18+N133+E210+E51	15.93696	14.84286	1738.81	4165.86	0.63846
ala+N197+N687+N383+E99+E108	18.44397	13.99533	1527.85	4786.76	0.70324
ala+N198+N285+N391+E126+E228	18.24413	9.24945	1986.38	4787.79	0.5683
ala+N270+N606+N482+E105+E130	15.77433	12.78048	1931.82	4115.24	0.60862
ala+N400+N18+N172+E58+E43	13.04266	7.12646	2133.49	2444.14	0.39822
ala+N400+N411+N300+E203+E193	21.34777	16.67414	1346.36	4688.3	0.72098
ala+N428+N456+N254+E185+E137	18.25653	14.15713	1640.34	2086.94	0.56788
ala+N442+N516+N254+E18+E92	11.27589	8.72878	2180.07	3117.76	0.41672
ala+N442+N639+N383+E68+E125	18.50686	14.75646	1560.65	4651.34	0.66786
ala+N457+N499+N133+E52+E11	14.84092	11.19411	2004.51	4038.27	0.52718
ala+N457+N96+N482+E112+E156	18.21788	14.80349	1603.93	5272.81	0.67892
ala+N481+N429+N391+E22+E69	18.91019	14.28457	1474.2	5323.84	0.7256
ala+N504+N535+N482+E98+E16	22.12822	19.65701	1398.0	5698.96	0.70602
ala+N528+N440+N671+E127+E150	10.43783	8.90791	2344.63	3009.11	0.40122
ala+N553+N186+N172+E223+E37	25.90936	14.33778	1437.91	5709.38	0.71084
ala+N553+N298+N172+E56+E24	24.12248	19.01205	1235.94	4945.57	0.75762
ala+N553+N477+N133+E63+E142	14.98935	10.1558	2036.05	4604.25	0.53382
ala+N684+N495+N133+E104+E154	16.42081	13.74234	1722.74	4401.25	0.62658
alb-a+N385+N68+E92+E202+E181	21.63149	16.16531	1362.69	5039.48	0.7213
alb+N134+N648+E217	5.81226	2.38195	0.0	0.0	0.0
alb+N197+N358+E60	8.94194	5.93526	1744.48	1522.78	0.17848
alb+N232+N58+E219	8.92887	5.77162	2160.04	2352.19	0.20862
alb+N265+N56+E52	4.79562	2.9011	0.0	0.0	0.01658
alb+N270+N358+E4	11.1053	9.66158	2375.79	4231.25	0.45296
alb+N287+N358+E156	6.10783	5.00621	1661.68	1467.59	0.1022
alb+N287+N94+E210	14.2821	10.98298	2117.87	3890.12	0.51652
alb+N308+N107+E157	12.40134	8.08168	2070.63	3541.58	0.31596
alb+N328+N94+E112	10.23291	6.46097	2136.78	3297.12	0.2952
alb+N421+N107+E172	12.0407	10.18545	2370.16	2961.19	0.44862
alb+N447+N56+E184	5.33072	2.0148	0.0	0.0	0.0
alb+N481+N648+E95	6.4639	3.9672	1522.53	1352.14	0.10248
alb+N489+N203+E233	7.74846	3.97121	1770.9	1630.9	0.13262
alb+N528+N358+E115	6.11548	4.18832	919.549	601.464	0.05828
alb+N528+N358+E77	12.41052	8.1727	2300.78	4487.46	0.45828
alb+N536+N177+E122	7.96501	5.5654	2039.49	2055.42	0.22072
alb+N541+N56+E104	10.84943	7.84044	2295.98	2874.61	0.33236
alb+N553+N648+E216	9.12306	6.59411	2150.92	2882.9	0.25542
alb+N554+N94+E73	8.80106	6.58338	2193.12	2637.58	0.2546
alb+N645+N648+E120	9.29378	7.59182	2372.47	3329.76	0.31542
alb+N691+N648+E37	7.52601	5.68034	2289.73	2197.46	0.2023
alb+N86+N58+E149	6.37663	4.76537	1224.52	886.058	0.08564
alb+N92+N94+E168	7.59752	4.13652	1619.55	1475.65	0.14714
alb+N9+N203+E72	5.79659	3.62222	908.786	609.625	0.05218
alc+N107+N260+N242+E65+E198	12.7879	9.52408	1991.33	3675.2	0.40918
alc+N107+N478+N482+E4+E68	14.24487	10.10931	2069.6	4700.75	0.52776
alc+N107+N669+N300+E45+E32	13.51807	7.37313	1890.07	2978.5	0.46348
alc+N107+N669+N300+E51+E42	11.18992	6.66647	1964.62	2094.01	0.32614
alc+N107+N704+N242+E228+E11	10.5419	8.67785	1894.22	2272.21	0.3312
alc+N648+N170+N242+E71+E13	12.11668	6.34597	1852.39	2309.6	0.2535
alc+N648+N227+N391+E32+E184	19.20033	9.51638	1989.45	3833.33	0.46742
alc+N648+N244+N651+E60+E21	19.46431	7.87686	1811.41	3039.14	0.4674
alc+N648+N244+N671+E169+E223	20.29241	12.46231	1766.05	4240.9	0.61868
alc+N648+N640+N383+E19+E132	11.10498	5.23803	2171.2	2656.33	0.29368
alc+N648+N669+N391+E221+E17	19.21529	9.36323	1841.12	4266.27	0.533
alc+N94+N220+N254+E127+E92	10.54525	5.68981	1922.42	2060.66	0.2366
alc+N94+N244+N671+E101+E44	19.76957	8.38671	1977.95	3670.72	0.43214
alc+N94+N269+N572+E171+E101	13.70311	6.04625	1933.59	2547.15	0.32808
alc+N94+N269+N572+E79+E131	11.24869	5.61583	1688.96	1967.9	0.23296
alc+N94+N573+N206+E133+E150	18.16488	9.87159	1910.54	3853.3	0.52046
alc+N94+N638+N133+E21+E193	18.46506	13.8752	1652.81	5035.92	0.62376
alc+N94+N669+N206+E38+E180	14.52279	8.00871	2181.86	3814.94	0.47998
alm+N133+N134+E130+E226	4.85045	2.0307	0.0	0.0	0.0
alm+N133+N268+E161+E119	8.43385	4.91446	1950.49	2061.82	0.15664
alm+N133+N92+E165+E189	17.62513	13.01439	1724.79	4016.39	0.58838
alm+N206+N447+E7+E194	29.0665	22.40811	921.081	5838.07	0.8246
alm+N206+N481+E121+E152	25.09398	21.57212	1197.75	5865.24	0.76492
alm+N242+N268+E16+E225	27.44917	18.97507	987.794	4435.27	0.76104
alm+N242+N343+E233+E57	13.77652	11.15918	2031.12	3866.82	0.53596
alm+N242+N92+E76+E67	11.18978	7.02323	2069.97	2630.64	0.3914
alm+N254+N489+E66+E33	18.97607	14.18393	1515.78	5344.49	0.69714
alm+N300+N197+E80+E194	27.90234	23.98086	995.948	5500.26	0.80498
alm+N300+N270+E21+E89	9.75165	4.29306	1397.53	1292.54	0.1388
alm+N300+N354+E113+E7	24.91418	15.26056	1238.88	4854.9	0.75896
alm+N364+N268+E182+E80	27.18485	20.55405	1075.99	5022.62	0.76736
alm+N391+N287+E198+E122	17.87831	9.77027	1977.89	3483.39	0.47628
alm+N482+N343+E203+E132	9.97204	4.365	2272.34	2681.38	0.26602
alm+N651+N232+E78+E76	11.99507	6.81328	1934.97	2123.08	0.25936
alm+N651+N278+E109+E74	19.03875	17.52599	1685.35	2850.99	0.5404
alm+N671+N667+E48+E84	13.26431	9.83615	1754.26	2209.67	0.37456
alw+N267+N450+N366+E65+E139	11.04807	7.86358	2398.69	4090.12	0.3981
alw+N304+N68+N489+E186+E68	16.15752	12.32013	1791.03	4790.73	0.6013
alw+N514+N649+N105+E185+E122	15.36201	9.73913	1884.82	2974.74	0.51044
alw+N515+N371+N567+E36+E66	11.57908	6.90265	2453.5	3623.3	0.4111
alw+N649+N385+N116+E94+E81	14.64942	10.448	2013.58	3977.91	0.5387
