MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction	0.0	0.1	0.2	0.30000000000000004	0.4	0.5	0.6000000000000001	0.7000000000000001	0.8	0.9
mof_10000	18.8338	9.68806	1781.03	5126.34	0.59342	0.0	0.0	0.0146438746438746	0.2478632478632479	0.30997150997151	0.0141880341880341	0.0099145299145299	0.0084900284900284	0.0058689458689458	0.3890598290598291
mof_10001	21.28273	10.01923	1661.45	5048.24	0.628	0.0	0.0	0.0082730659653736	0.237617795310103	0.3660420775805392	0.0135875520490904	0.009807144422529	0.0063554678939294	0.0043282927898312	0.3539886039886041
mof_10002	24.47284	11.01164	1508.51	4706.99	0.63176	0.0	0.0	0.0100045102300217	0.2334249046701382	0.369018819959818	0.0112345729632211	0.0067653450325966	0.00672434294149	0.0050022551150108	0.3578252490877035
mof_10003	20.19751	10.05221	1722.37	4928.37	0.5798	0.0	0.0001702852277564	0.0150702426564495	0.2257556406981695	0.316602809706258	0.0138356747552149	0.0103448275862068	0.0074499787143465	0.0059174116645381	0.4048531289910601
mof_10004	20.9815	10.67391	1664.37	4709.47	0.59458	0.0	0.0	0.0117826391463766	0.2160425163762205	0.3503481234293248	0.0133481646273637	0.0100111234705228	0.0068388744695752	0.0063444980018951	0.3852840604787212
mof_10005	15.33775	6.72388	1969.0	4023.22	0.46196	0.0	0.0	0.0248917748917748	0.2796536796536797	0.1341991341991342	0.0155844155844155	0.0114718614718614	0.009090909090909	0.0079004329004329	0.5172077922077923
mof_10006	26.62951	13.19597	1398.3	5818.13	0.69136	0.0	0.0	0.0066061580882352	0.1970358455882353	0.4717945772058824	0.0110006893382352	0.0068933823529411	0.0058306525735294	0.0045668658088235	0.2962718290441177
mof_10007	25.31701	12.70729	1384.94	5491.95	0.6869	0.0	0.0	0.0050060724547528	0.2006872241476347	0.4620693740928345	0.0109304185550519	0.0077016499303889	0.0065464024408305	0.0052134245682632	0.3018454338102433
mof_10008	27.59502	14.15471	1286.25	6112.16	0.72534	0.0	0.0	0.003732174688057	0.1918449197860963	0.5139260249554368	0.0112800802139037	0.007464349376114	0.0058210784313725	0.0050690730837789	0.2608622994652406
mof_10009	26.97655	14.33228	1261.43	5681.33	0.73922	0.0	0.0	0.0007475130814789	0.1839169685469496	0.542148237594158	0.0100914265999654	0.0074176298085216	0.0051750905640848	0.0048875855327468	0.2456155482720948
mof_1000	17.35696	15.92848	1751.72	2468.4	0.4269	0.0	0.0	0.043049543049543	0.2235449735449735	0.1516354016354016	0.0146705146705146	0.0111832611832611	0.0073352573352573	0.0069745069745069	0.5416065416065418
mof_10010	28.05374	14.99868	1193.35	6899.51	0.75856	0.0	0.0	0.0008388382090804	0.1740851420782217	0.5686012372863585	0.0111670336583831	0.0071825521652511	0.0054786620530565	0.0041941910454021	0.2284523435042466
mof_10011	28.66766	15.13108	1175.5	7006.8	0.76324	0.0	0.0	0.0007601971269791	0.1717783370032505	0.577854671280277	0.0098563489566949	0.0073398343294537	0.0056621579112928	0.0041155499633008	0.2226329034287512
mof_10012	31.03746	16.07986	1069.7	7420.86	0.79646	0.0	0.0	0.0	0.1405449567214273	0.6441662250485781	0.0099143260907966	0.0076620738385444	0.0051006889242183	0.0038641582759229	0.1887475711005123
mof_10013	33.05127	17.363	1025.65	6496.08	0.78954	0.0	0.0	0.0023205292781672	0.1486290773838912	0.6271189230110925	0.0087554721701063	0.0057272637503702	0.004920838682071	0.0033409038543826	0.1991869918699187
mof_10014	33.0538	17.83583	1011.16	6099.67	0.79638	0.0	0.0	0.001074151074151	0.1423250173250173	0.6431392931392932	0.0086625086625086	0.006081081081081	0.0049722799722799	0.004002079002079	0.1897435897435898
mof_10015	35.1839	18.40856	946.919	7200.56	0.81474	0.0	0.0	0.0007661038148843	0.125046904315197	0.6782520325203254	0.0086147592245153	0.0057223264540337	0.0042370231394621	0.0038305190744215	0.1735303314571607
mof_10016	21.12997	10.28894	1651.01	5717.58	0.65184	0.0	0.0	0.0045373008335971	0.2298723224649151	0.3975941753719532	0.0137174211248285	0.0096549540993985	0.0055924870739685	0.0063311174422285	0.3327002215891105
mof_10017	35.11725	18.3835	965.54	7409.28	0.81522	0.0	0.0	0.00046992481203	0.1290726817042606	0.6744987468671682	0.0084743107769423	0.0058114035087719	0.0040256892230576	0.0037750626566416	0.1738721804511278
mof_10018	36.09623	19.9687	865.15	6466.94	0.82582	0.0	0.0	0.0014181840033651	0.1249083588726639	0.6913887386575327	0.0074394567634156	0.0050718105883059	0.0037137191274562	0.0029685716002644	0.163091160386996
mof_10019	37.3797	19.96122	897.767	6484.22	0.81806	0.0	0.0	0.002999662959218	0.126659925851028	0.6790023592854737	0.007819346140883	0.0052353668127176	0.0037411526794742	0.0031906527356476	0.1713515335355578
mof_1001	25.93623	24.00552	1708.56	4180.66	0.55502	0.0	0.0004960317460317	0.0285409035409035	0.2002823565323566	0.3116224053724054	0.0134310134310134	0.0083180708180708	0.007822039072039	0.0063721001221001	0.4231150793650794
mof_10020	38.73646	20.90673	839.333	6679.77	0.8305	0.0	0.0	0.0017043267909175	0.1208202759909835	0.6997635933806148	0.0073560943427346	0.0046071801638352	0.0035955797460003	0.0028038924624773	0.1593490571224367
mof_10021	38.89606	20.83251	821.662	7032.42	0.83716	0.0	0.0	0.000980133033787	0.1143451830315845	0.7118849389894719	0.0071142240429936	0.0051319325139861	0.0036782520593806	0.0027091317563102	0.1541562045724858
mof_10022	39.72211	21.23729	803.746	6815.62	0.84092	0.0	0.0	0.0006403774856757	0.1107516009437142	0.7212785080328055	0.0071227951915515	0.0048309178743961	0.0038310302213234	0.0030446017301426	0.148500168520391
