MOF	LCD	PLD	Vol_ASA	Grav_ASA	Void_fraction
mof_11525	37.57461	27.13092	878.589	7328.36	0.83712
mof_11526	38.69353	27.24496	802.401	7532.38	0.85466
mof_11527	39.00436	27.07809	768.1	6986.18	0.8614
mof_11528	39.37569	28.92386	764.694	6392.31	0.8466
mof_11529	39.02124	27.36723	758.468	7144.32	0.85698
mof_1152	28.19808	26.86989	1389.81	2457.15	0.54716
mof_11530	38.42977	27.3167	779.44	7367.74	0.8569
mof_11531	40.89897	29.22089	719.702	7096.43	0.86252
mof_11532	21.45446	14.62329	1616.7	5616.62	0.67166
mof_11533	39.59414	29.10985	742.141	6966.42	0.85932
mof_11534	42.43506	30.28489	705.876	7323.39	0.86842
mof_11535	42.95426	30.03489	665.676	6510.52	0.8783
mof_11536	45.59113	33.37716	626.067	7165.18	0.88152
mof_11537	46.26434	33.21328	605.041	6795.83	0.88526
mof_11538	46.85757	32.76545	585.216	6252.14	0.89182
mof_11539	49.3888	35.28911	546.125	7665.97	0.9002
mof_1153	31.42047	30.54171	1459.55	3004.49	0.59444
mof_11540	48.60202	35.3088	566.546	7922.25	0.89984
mof_11541	18.18031	13.57404	1679.65	5174.95	0.63942
mof_11542	17.10216	11.54341	1905.79	5327.99	0.6023
mof_11543	20.80681	14.41509	1599.74	5158.79	0.665
mof_11544	24.62415	17.44413	1414.37	5044.17	0.67706
mof_11545	22.37179	15.84709	1489.46	4934.26	0.64858
mof_11546	23.62399	16.97626	1402.83	4670.33	0.66918
mof_11547	8.21166	6.3268	2067.4	1491.38	0.1692
mof_11548	15.6599	10.90886	1821.83	3715.67	0.4989
mof_11549	17.46967	11.50215	1780.85	3592.95	0.51414
mof_1154	31.25676	29.75313	1459.79	2865.84	0.61136
mof_11550	17.88313	12.22682	1834.3	4314.14	0.56356
mof_11551	18.90866	13.47746	1778.35	3995.55	0.60658
mof_11552	18.24112	12.93762	1750.74	5166.82	0.63028
mof_11553	18.58185	12.75584	1741.96	5312.56	0.63578
mof_11554	21.87763	16.50749	1517.62	5555.46	0.70494
mof_11555	21.48011	15.58782	1497.99	4982.35	0.6643
mof_11556	21.86234	16.25167	1475.57	4586.33	0.6813
mof_11557	24.3351	17.35557	1386.73	5850.45	0.72464
mof_11558	12.5078	9.4623	2289.45	3318.65	0.43828
mof_11559	24.37087	19.70878	1352.37	5658.06	0.72338
mof_1155	31.38429	30.6878	1479.28	3492.05	0.63214
mof_11560	23.22067	17.31342	1351.53	5255.19	0.71448
mof_11561	25.29386	19.12986	1298.87	5172.89	0.71486
mof_11562	27.6181	19.51909	1226.44	5486.81	0.73878
mof_11563	27.67285	20.03108	1200.25	5838.73	0.75166
mof_11564	26.85422	19.42848	1194.9	5710.59	0.75828
mof_11565	28.89331	20.74972	1123.66	5161.82	0.7797
mof_11566	28.77243	21.39152	1097.73	6690.95	0.80082
mof_11567	26.39953	19.8882	1226.62	5584.09	0.7431
mof_11568	28.76005	20.12992	1106.54	6524.84	0.78254
mof_11569	13.30323	9.62289	2097.97	3517.76	0.46652
mof_1156	33.59465	33.03614	1483.63	3651.05	0.64246
mof_11570	28.67762	21.18897	1083.45	6005.43	0.7925
