MOF	LCD	PLD	Vol_SA	Grav_SA	Void_fraction
EBAWIQ_clean	5.06109	3.33924	674.352	581.96	0.03206
EBEGEZ_clean	4.40653	2.98866	0.0	0.0	0.01228
EBEGID_clean	4.48274	2.95187	0.0	0.0	0.01194
EBELUU_clean	5.06354	4.01259	1776.33	1628.99	0.09808
EBEMEE_clean	4.82351	3.61774	735.107	456.514	0.0316
EBEMEF_clean	4.2795	3.43566	1938.82	1571.59	0.07598
EBEMII_clean	4.74887	3.57779	655.001	414.613	0.03028
EBEWIT_clean	6.98757	6.64177	1619.42	1041.86	0.1866
EBEXAM_clean	7.13111	6.78821	1633.49	1083.76	0.19584
EBEXEQ01_clean	7.07406	6.73356	1617.74	1004.41	0.1793
EBEXEQ_clean	7.05454	6.70514	1592.08	983.906	0.1784
EBEZUI_ion_b	4.7171	3.35368	933.793	676.757	0.03236
EBIDIE_charged	4.8653	3.27189	692.611	469.926	0.02744
EBIDOK_ion_b	10.15107	7.28168	2130.43	2419.32	0.18854
EBIHII_clean	6.77782	5.19916	1960.92	1732.65	0.18532
EBIJAC_clean	5.69411	4.345	946.667	697.218	0.0555
EBIMEJ_clean	4.76005	3.76742	1349.65	1071.86	0.06222
EBIMIN_charged	4.29295	2.41467	0.0	0.0	0.0
EBIMOT_charged	4.76056	2.59937	0.0	0.0	0.0
EBINUA01_clean	4.20924	3.08891	0.0	0.0	0.02084
EBINUA02_clean	4.09342	2.9968	0.0	0.0	0.01812
EBINUA_clean	4.14048	3.02919	0.0	0.0	0.01872
EBIPIQ_clean	3.95804	2.76217	0.0	0.0	0.0
EBIPOX_clean	5.78746	4.90776	2687.47	2626.63	0.18616
EBISEQ_clean	4.75207	3.13437	726.921	547.93	0.033
EBITAL01_clean	4.54626	2.56486	0.0	0.0	0.0
EBITAL_clean	4.48474	2.51846	0.0	0.0	0.0
EBIZUN_clean	10.22426	8.07829	2416.27	3056.68	0.34168
EBOBIJ_clean	6.08923	4.67292	1840.01	1958.36	0.14054
EBOCOQ_clean	5.90692	5.38954	1455.5	1473.49	0.12184
EBOJOV_clean	5.22472	4.63991	1063.18	426.874	0.06912
EBOTOF_clean	3.86531	2.43085	0.0	0.0	0.0
EBUFUE_clean	7.02539	3.39477	1013.03	913.316	0.06312
EBUQEX_clean	6.34635	3.93297	1808.94	2030.93	0.12926
EBUQIB_clean	6.03622	4.38011	1264.84	1147.14	0.08978
EBUREA_clean	5.12157	4.43835	1447.24	1103.09	0.08396
ECAFOG_clean	9.52896	9.26877	1207.79	1072.5	0.20708
ECAHAT_clean	12.33039	11.4865	1109.89	1299.22	0.23396
ECAHEX_clean	6.93055	5.1748	948.011	784.092	0.07884
ECAHOH_clean	6.87088	4.98271	942.575	773.725	0.0762
ECASAD_clean	4.09039	3.62411	644.555	398.109	0.0231
ECASOS_clean	3.2446	2.88357	0.0	0.0	0.00188
ECEBEW_clean	4.33858	3.12787	850.208	646.386	0.03518
ECEDAU_clean	5.16051	3.4158	847.838	553.5	0.04562
ECEDEY_clean	6.39219	4.6444	1523.8	1481.76	0.1262
ECEZAO01_clean	4.88805	4.01037	1064.14	742.448	0.0573
ECIWIW_clean	5.91503	4.28149	854.828	645.582	0.06104
ECIWOC_clean	5.05411	4.785	675.821	482.201	0.03818
ECIWUJ_clean	3.25413	2.62453	0.0	0.0	0.0
ECIYEU01_clean	3.69874	2.93854	0.0	0.0	0.01452
ECIYEU02_clean	3.67353	2.8076	0.0	0.0	0.01342
ECIYEU_clean	4.54124	2.83454	0.0	0.0	0.02968
